time,symbol,price,quantity
2026-01-12 12:50:21.702566+00:00,BTCUSDT,90750.0,0.00014
2026-01-12 12:50:24.358289+00:00,BTCUSDT,90750.0,0.00578
2026-01-12 12:50:24.359110+00:00,BTCUSDT,90750.0,0.00559
2026-01-12 12:50:24.360171+00:00,BTCUSDT,90750.0,0.00331
2026-01-12 12:50:24.585665+00:00,BTCUSDT,90750.0,0.00011
2026-01-12 12:50:24.902081+00:00,BTCUSDT,90749.99,0.00578
2026-01-12 12:50:26.486672+00:00,BTCUSDT,90750.0,0.00075
2026-01-12 12:50:26.846374+00:00,BTCUSDT,90750.0,0.00052
2026-01-12 12:50:26.849292+00:00,BTCUSDT,90750.0,0.01338
2026-01-12 12:50:27.297889+00:00,BTCUSDT,90749.99,0.00023
2026-01-12 12:50:27.363677+00:00,BTCUSDT,90749.99,0.00014
2026-01-12 12:50:28.632250+00:00,BTCUSDT,90750.0,0.00549
2026-01-12 12:50:29.102143+00:00,BTCUSDT,90750.0,0.00687
2026-01-12 12:50:29.375063+00:00,BTCUSDT,90750.0,0.00028
2026-01-12 12:50:30.160920+00:00,BTCUSDT,90750.0,0.00029
2026-01-12 12:50:30.161655+00:00,BTCUSDT,90749.99,0.00052
2026-01-12 12:50:30.168853+00:00,BTCUSDT,90750.0,0.00011
2026-01-12 12:50:30.422020+00:00,BTCUSDT,90750.0,0.14384
2026-01-12 12:50:30.423930+00:00,BTCUSDT,90750.0,0.05331
2026-01-12 12:50:30.424859+00:00,BTCUSDT,90750.0,0.003
2026-01-12 12:50:30.425892+00:00,BTCUSDT,90750.0,0.001
2026-01-12 12:50:30.426746+00:00,BTCUSDT,90750.0,0.0008
2026-01-12 12:50:30.427656+00:00,BTCUSDT,90750.0,0.00039
2026-01-12 12:50:30.428527+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.429307+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.430055+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.430784+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.431429+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.432124+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.432801+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.433357+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.433995+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.434594+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.435175+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.435775+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.436373+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.436931+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.437508+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.438106+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.438742+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.439307+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.439839+00:00,BTCUSDT,90750.0,0.00026
2026-01-12 12:50:30.440397+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.440952+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.441754+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.442308+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.442818+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.443366+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.443955+00:00,BTCUSDT,90750.0,0.02413
2026-01-12 12:50:30.790028+00:00,BTCUSDT,90750.0,0.00087
2026-01-12 12:50:30.791609+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.792420+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.793145+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.793855+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.794435+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.794946+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.795446+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.795998+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.796583+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.797101+00:00,BTCUSDT,90750.0,9e-05
2026-01-12 12:50:30.797683+00:00,BTCUSDT,90750.0,0.00012
2026-01-12 12:50:30.798562+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.799345+00:00,BTCUSDT,90750.0,6e-05
2026-01-12 12:50:30.799921+00:00,BTCUSDT,90750.0,0.00014
